product_id,category,brand,season,size,color,original_price,markdown_percentage,current_price,purchase_date,stock_quantity,customer_rating,is_returned,return_reason
Fb000001,Outerwear,Zara,Spring,Xl,Red,196.01,12.1,196.01,05-07-2025,37,3,FALSE,
Fb000002,Tops,Uniqlo,Winter,L,Pink,119.64,12.1,119.64,06-08-2025,2,2.5,FALSE,
Fb000003,Accessories,Uniqlo,Winter,unknown size,Black,33.8,12.1,33.8,06-08-2025,22,4.3,FALSE,
Fb000004,Shoes,Uniqlo,Spring,Xl,Black,75.36,12.1,75.36,07-07-2025,48,2.6,FALSE,
Fb000005,Tops,Banana Republic,Winter,Xl,Black,105.02,12.1,105.02,06-08-2025,10,2.9,FALSE,
Fb000006,Accessories,Zara,Fall,unknown size,White,35.03,35.4,22.63,06-08-2025,38,2.9,TRUE,Color Mismatch
Fb000007,Bottoms,Zara,Spring,S,Gray,53.83,54.5,24.49,29-10-2024,38,2.6,FALSE,
Fb000008,Dresses,Mango,Winter,Xl,Blue,91.55,22.1,71.32,06-08-2025,47,1.6,FALSE,
Fb000009,Outerwear,Uniqlo,Spring,Xl,Green,227.73,12.8,198.58,24-03-2025,14,2.9,FALSE,
Fb000010,Outerwear,H&M,Fall,Xxl,Pink,248.41,112.1.9,221.33,06-08-2025,37,2.9,FALSE,
Fb000011,Tops,Mango,Spring,L,Black,116.84,12.1,116.84,25-04-2025,3,4.4,FALSE,
Fb000012,Shoes,Uniqlo,Winter,S,Blue,146.98,12.1,146.98,06-08-2025,2,3.4,FALSE,
Fb000013,Bottoms,Ann Taylor,Spring,S,White,37.51,12.1,37.51,04-01-2025,43,2.9,FALSE,
Fb000014,Dresses,Uniqlo,Fall,Xs,Beige,48.15,12.1,48.15,06-08-2025,39,1.6,FALSE,
Fb000015,Tops,Mango,Winter,M,Beige,79.66,12.1,79.66,06-08-2025,7,1.7,FALSE,
Fb000016,Accessories,Mango,Winter,unknown size,Green,67.57,12.1,67.57,06-08-2025,17,2.4,FALSE,
Fb000017,Shoes,Gap,Summer,S,Beige,123.53,12.1,123.53,06-08-2025,14,4.6,FALSE,
Fb000018,Tops,Ann Taylor,Winter,L,Navy,102.35,12.1,102.35,06-08-2025,14,3.5,FALSE,
Fb000019,Outerwear,Mango,Summer,M,Purple,137.95,58.5,57.25,06-08-2025,16,4.1,FALSE,
Fb000020,Outerwear,Banana Republic,Summer,Xxl,Gray,142.59,12.1,142.59,06-08-2025,1,3.7,FALSE,
Fb000021,Bottoms,Mango,Fall,L,Beige,33.33,21.8,26.06,06-08-2025,42,2.9,FALSE,
Fb000022,Accessories,Zara,Spring,unknown size,Brown,62.3,12.1,62.3,24-09-2024,10,2.5,FALSE,
Fb000023,Accessories,Zara,Winter,unknown size,Pink,38.48,12.1,38.48,06-08-2025,46,1.2,FALSE,
Fb000024,Dresses,Banana Republic,Summer,Xl,Green,91.36,12.1,91.36,06-08-2025,37,1.2,TRUE,Size Issue
Fb000025,Tops,Forever21,Fall,Xs,Blue,80.47,29.1,57.05,06-08-2025,38,3.6,FALSE,
Fb000026,Bottoms,Uniqlo,Spring,M,Red,40.89,34,26.99,11-06-2025,16,3.7,FALSE,
Fb000027,Bottoms,Banana Republic,Summer,L,Red,47.04,36,30.11,06-08-2025,25,1.1,TRUE,Damaged
Fb000028,Bottoms,Gap,Summer,M,Blue,53.37,12.1,53.37,06-08-2025,28,3.8,FALSE,
Fb000029,Dresses,Ann Taylor,Summer,L,White,114.35,12.1,114.35,06-08-2025,6,1.2,FALSE,
Fb000030,Shoes,Gap,Spring,Xl,Red,77.63,12.1,77.63,24-10-2024,1,2.9,FALSE,
Fb000031,Shoes,Uniqlo,Summer,S,Red,71.29,12.1,71.29,06-08-2025,37,4.1,TRUE,Quality Issue
Fb000032,Tops,Gap,Spring,L,Purple,37.43,24.4,28.3,16-04-2025,5,2.9,FALSE,
Fb000033,Shoes,Zara,Spring,Xl,Purple,143.78,12.1,143.78,16-10-2024,43,1.1,FALSE,
Fb000034,Tops,Banana Republic,Summer,Xl,Gray,88.23,12.1,88.23,06-08-2025,44,1.6,FALSE,
Fb000035,Accessories,Forever21,Fall,unknown size,Navy,58.57,12.1,58.57,06-08-2025,38,1.5,FALSE,
Fb000036,Tops,Uniqlo,Winter,Xxl,White,119.7,5.7,112.88,06-08-2025,37,4.9,FALSE,
Fb000037,Bottoms,Banana Republic,Fall,Xxl,Green,97.06,47.8,50.67,06-08-2025,31,4.1,FALSE,
Fb000038,Dresses,Banana Republic,Summer,L,White,110.09,12.1,110.09,06-08-2025,32,3.4,FALSE,
Fb000039,Shoes,Zara,Winter,Xs,Green,198.42,14.2,170.24,06-08-2025,10,2.9,FALSE,
Fb000040,Bottoms,Banana Republic,Winter,unknown size,Purple,101.72,12.1,101.72,06-08-2025,40,2.9,FALSE,
Fb000041,Tops,Uniqlo,Summer,S,White,117.86,12.1,117.86,06-08-2025,6,2.9,FALSE,
Fb000042,Tops,Ann Taylor,Summer,M,Green,78.86,12.1,78.86,06-08-2025,22,4.3,FALSE,
Fb000043,Outerwear,Zara,Winter,Xs,Navy,216.16,51.4,105.05,06-08-2025,36,4,FALSE,
Fb000044,Shoes,Zara,Spring,Xl,Pink,129.85,12.1,129.85,25-04-2025,36,3.3,FALSE,
Fb000045,Tops,Banana Republic,Winter,Xxl,Green,111.3,12.1,111.3,06-08-2025,11,1.7,FALSE,
Fb000046,Dresses,Uniqlo,Summer,Xl,Brown,73.65,12.1,73.65,06-08-2025,33,3.6,FALSE,
Fb000047,Shoes,Mango,Summer,L,Pink,147.13,312.1.3,102.55,06-08-2025,13,4.4,FALSE,
Fb000048,Accessories,Ann Taylor,Winter,unknown size,Green,44.6,53.9,20.56,06-08-2025,42,2.4,FALSE,
Fb000049,Bottoms,Forever21,Summer,Xl,White,101.8,12.1,101.8,06-08-2025,7,2.8,FALSE,
Fb000050,Accessories,Banana Republic,Summer,unknown size,Brown,16.52,55.9,7.29,06-08-2025,43,2.9,FALSE,
Fb000051,Bottoms,H&M,Fall,M,Beige,50.91,12.1,50.91,06-08-2025,3,1.8,FALSE,
Fb000052,Outerwear,Forever21,Spring,S,White,222.26,12.1,222.26,03-05-2025,50,4.5,FALSE,
Fb000053,Shoes,Gap,Summer,S,Navy,104.14,57.1,44.68,06-08-2025,14,1.8,FALSE,
Fb000054,Outerwear,Zara,Spring,S,White,166.76,12.1,166.76,12-06-2025,21,4.2,FALSE,
Fb000055,Accessories,Banana Republic,Fall,unknown size,Black,44.13,512.1.9,21.67,06-08-2025,21,3,FALSE,
Fb000056,Outerwear,Gap,Summer,S,Green,121.29,15.2,102.85,06-08-2025,42,2.9,FALSE,
Fb000057,Tops,H&M,Spring,S,Beige,73.71,12.1,73.71,10-07-2025,35,3.9,TRUE,Quality Issue
Fb000058,Bottoms,Zara,Spring,Xl,Brown,84.07,26.3,61.96,25-10-2024,19,2.3,TRUE,Size Issue
Fb000059,Tops,Mango,Summer,Xs,Black,28.59,12.1,28.59,06-08-2025,39,1.4,FALSE,
Fb000060,Shoes,Mango,Winter,Xxl,Blue,166.49,2.6,162.16,06-08-2025,27,2.9,FALSE,
Fb000061,Shoes,Ann Taylor,Summer,M,White,145.95,6.6,136.32,06-08-2025,15,4,FALSE,
Fb000062,Outerwear,Gap,Fall,M,Purple,218.42,12.1,218.42,06-08-2025,33,4.4,TRUE,Changed Mind
Fb000063,Accessories,Forever21,Winter,unknown size,White,46.17,1.1,45.66,06-08-2025,30,1.9,FALSE,
Fb000064,Shoes,H&M,Summer,unknown size,Green,106.18,18,87.07,06-08-2025,11,4.5,FALSE,
Fb000065,Tops,Zara,Winter,Xs,Gray,93.33,2.4,91.09,06-08-2025,20,4.2,FALSE,
